No.,Ministry,Total_05-06,Total_06-07,Total_07-08,Total_09-10,Total_10-11,Total_12-13,Total_13-14,Total_15-16,Total_16-17,Total_19-20,Total_20-21,Total_21-22,Total_22-23,Total_23-24
86,bb. Tribal Affairs,1509.74,1667.46,2247.37,819.61,1213.87,1591.0,2517.0,1065.37,4427.22,6526.96,7411.0,7524.87,8451.92,12461.88
87,bb. Tribal Affairs,1509.74,1667.46,2247.37,819.61,1213.87,1591.0,2517.0,1065.37,399.28,6526.96,7411.0,7524.87,8451.92,12461.88
88,bb. Tribal Affairs,1509.74,1667.46,2247.37,819.61,1213.87,1591.0,1778.94,3753.84,4427.22,6526.96,7411.0,7524.87,8451.92,12461.88
89,bb. Tribal Affairs,1509.74,1667.46,2247.37,819.61,1213.87,1591.0,1778.94,3753.84,399.28,6526.96,7411.0,7524.87,8451.92,12461.88
90,bb. Tribal Affairs,1509.74,1667.46,2247.37,819.61,1213.87,1591.0,1778.94,1065.37,4427.22,6526.96,7411.0,7524.87,8451.92,12461.88
91,bb. Tribal Affairs,1509.74,1667.46,2247.37,819.61,1213.87,1591.0,1778.94,1065.37,399.28,6526.96,7411.0,7524.87,8451.92,12461.88
92,bb. Tribal Affairs,1509.74,1667.46,2247.37,2400.5,1213.87,1591.0,1778.94,1065.37,399.28,6526.96,7411.0,7524.87,8451.92,12461.88
93,bb. Tribal Affairs,1509.74,1667.46,2247.37,2400.5,1213.87,1591.0,1778.94,1065.37,4427.22,6526.96,7411.0,7524.87,8451.92,12461.88
94,bb. Tribal Affairs,1509.74,1667.46,2247.37,2400.5,1213.87,2517.0,1778.94,3753.84,4427.22,6526.96,7411.0,7524.87,8451.92,12461.88
95,bb. Tribal Affairs,1509.74,1667.46,2247.37,2400.5,1213.87,1591.0,1778.94,3753.84,4427.22,6526.96,7411.0,7524.87,8451.92,12461.88
96,bb. Tribal Affairs,1509.74,1667.46,2247.37,2400.5,1213.87,2517.0,1778.94,3753.84,399.28,6526.96,7411.0,7524.87,8451.92,12461.88
97,bb. Tribal Affairs,1509.74,1667.46,2247.37,2400.5,1213.87,2517.0,1778.94,1065.37,4427.22,6526.96,7411.0,7524.87,8451.92,12461.88
98,bb. Tribal Affairs,1509.74,1667.46,2247.37,2400.5,1213.87,2517.0,1778.94,1065.37,399.28,6526.96,7411.0,7524.87,8451.92,12461.88
99,bb. Tribal Affairs,1509.74,1667.46,2247.37,2400.5,1213.87,2517.0,2517.0,1065.37,4427.22,6526.96,7411.0,7524.87,8451.92,12461.88
100,bb. Tribal Affairs,1509.74,1667.46,2247.37,2400.5,1213.87,1591.0,1778.94,3753.84,399.28,6526.96,7411.0,7524.87,8451.92,12461.88
101,bb. Tribal Affairs,1509.74,1667.46,2247.37,2400.5,1213.87,1591.0,2517.0,1065.37,4427.22,6526.96,7411.0,7524.87,8451.92,12461.88
102,bb. Tribal Affairs,1509.74,1667.46,2247.37,2400.5,1213.87,2517.0,2517.0,3753.84,4427.22,6526.96,7411.0,7524.87,8451.92,12461.88
103,bb. Tribal Affairs,1509.74,1667.46,2247.37,2400.5,1213.87,1591.0,2517.0,3753.84,4427.22,6526.96,7411.0,7524.87,8451.92,12461.88
104,bb. Tribal Affairs,1509.74,1667.46,2247.37,2400.5,1213.87,1591.0,2517.0,3753.84,399.28,6526.96,7411.0,7524.87,8451.92,12461.88
105,bb. Tribal Affairs,1509.74,1667.46,2247.37,2400.5,1213.87,2517.0,2517.0,1065.37,399.28,6526.96,7411.0,7524.87,8451.92,12461.88
106,bb. Tribal Affairs,1509.74,1667.46,2247.37,2400.5,1213.87,1591.0,2517.0,1065.37,399.28,6526.96,7411.0,7524.87,8451.92,12461.88
107,bb. Tribal Affairs,1509.74,1667.46,2247.37,2400.5,1213.87,2517.0,2517.0,3753.84,399.28,6526.96,7411.0,7524.87,8451.92,12461.88
108,c. Panchayati Raj,50.44,3825.73,4770.5,4670.0,120.71,5050.0,6500.0,94.75,768.33,871.37,900.94,913.43,868.57,1016.42
109,c. Panchayati Raj,50.44,3825.73,4770.5,4670.0,120.71,5050.0,500.7,94.75,768.33,871.37,900.94,913.43,868.57,1016.42
110,c. Panchayati Raj,50.44,3825.73,4770.5,4670.0,120.71,300.74,6500.0,94.75,768.33,871.37,900.94,913.43,868.57,1016.42
111,c. Panchayati Raj,50.44,3825.73,4770.5,110.71,120.71,5050.0,6500.0,94.75,768.33,871.37,900.94,913.43,868.57,1016.42
112,c. Panchayati Raj,50.44,3825.73,4770.5,110.71,120.71,5050.0,500.7,94.75,768.33,871.37,900.94,913.43,868.57,1016.42
113,c. Panchayati Raj,50.44,3825.73,4770.5,110.71,120.71,300.74,6500.0,94.75,768.33,871.37,900.94,913.43,868.57,1016.42
114,c. Panchayati Raj,50.44,3825.73,4770.5,110.71,120.71,300.74,500.7,94.75,768.33,871.37,900.94,913.43,868.57,1016.42
115,c. Panchayati Raj,50.44,3825.73,4770.5,4670.0,120.71,300.74,500.7,94.75,768.33,871.37,900.94,913.43,868.57,1016.42
116,ee. Women and Child Development,3931.11,4852.94,11706.0,7428.0,11070.5,18584.0,20440.0,1084.61,3094.32,29164.9,30007.1,24435.0,25172.28,25448.75
117,ee. Women and Child Development,3931.11,4852.94,11706.0,7428.0,11070.5,18584.0,20440.0,1084.61,14257.93,29164.9,30007.1,24435.0,25172.28,25448.75
118,ee. Women and Child Development,3931.11,4852.94,11706.0,7428.0,11070.5,18584.0,20440.0,8999.79,3094.32,29164.9,30007.1,24435.0,25172.28,25448.75
119,ee. Women and Child Development,3931.11,4852.94,11706.0,7428.0,11070.5,18584.0,20440.0,8999.79,14257.93,29164.9,30007.1,24435.0,25172.28,25448.75
120,f. Drinking Water and Sanitation,0.0,0.0,0.0,0.0,0.0,14005.24,15265.7,238.87,1471.2,18216.34,21518.1,60030.45,67221.12,77223.0
121,f. Drinking Water and Sanitation,0.0,0.0,0.0,0.0,0.0,14005.24,15265.7,238.87,12537.0,18216.34,21518.1,60030.45,67221.12,77223.0
122,f. Drinking Water and Sanitation,0.0,0.0,0.0,0.0,0.0,14005.24,15265.7,6000.0,12537.0,18216.34,21518.1,60030.45,67221.12,77223.0
123,f. Drinking Water and Sanitation,0.0,0.0,0.0,0.0,0.0,14005.24,15265.7,6000.0,1471.2,18216.34,21518.1,60030.45,67221.12,77223.0
124,ff. Youth Affairs and Sports,506.99,669.0,1560.0,3073.0,3565.0,1152.0,1219.0,119.79,1592.0,2216.92,2826.92,2596.14,3062.6,3397.32
125,ff. Youth Affairs and Sports,506.99,669.0,1560.0,3073.0,3565.0,1152.0,1219.0,1398.84,1592.0,2216.92,2826.92,2596.14,3062.6,3397.32
126,j. Health and Family Welfare,6453.49,12545.88,15291.0,21113.33,23530.0,30702.0,33278.0,11358.0,16371.08,61398.12,65011.8,71268.77,83000.0,86175.0
127,j. Health and Family Welfare,6453.49,12545.88,15291.0,21113.33,23530.0,30702.0,33278.0,11358.0,20510.59,61398.12,65011.8,71268.77,83000.0,86175.0
128,j. Health and Family Welfare,6453.49,12545.88,15291.0,21113.33,23530.0,30702.0,33278.0,18000.0,16371.08,61398.12,65011.8,71268.77,83000.0,86175.0
129,j. Health and Family Welfare,6453.49,12545.88,15291.0,21113.33,23530.0,30702.0,33278.0,18000.0,20510.59,61398.12,65011.8,71268.77,83000.0,86175.0
130,j. Health and Family Welfare,3827.64,12545.88,15291.0,21113.33,23530.0,30702.0,33278.0,11358.0,16371.08,61398.12,65011.8,71268.77,83000.0,86175.0
131,j. Health and Family Welfare,3827.64,12545.88,15291.0,21113.33,23530.0,30702.0,33278.0,11358.0,20510.59,61398.12,65011.8,71268.77,83000.0,86175.0
132,j. Health and Family Welfare,3827.64,12545.88,15291.0,21113.33,23530.0,30702.0,33278.0,18000.0,16371.08,61398.12,65011.8,71268.77,83000.0,86175.0
133,j. Health and Family Welfare,3827.64,12545.88,15291.0,21113.33,23530.0,30702.0,33278.0,18000.0,20510.59,61398.12,65011.8,71268.77,83000.0,86175.0
134,k. Home Affairs,17015.82,18018.41,20995.73,37299.78,35144.97,52222.1,56906.84,990.0,1813.11,4895.81,8002.0,7620.4,7621.0,5901.31
135,k. Home Affairs,17015.82,18018.41,20995.73,37299.78,35144.97,52222.1,56906.84,990.0,73406.37,4895.81,8002.0,7620.4,7621.0,5901.31
136,k. Home Affairs,17015.82,18018.41,20995.73,37299.78,35144.97,52222.1,56906.84,65651.1,1813.11,4895.81,8002.0,7620.4,7621.0,5901.31
137,k. Home Affairs,17015.82,18018.41,20995.73,37299.78,35144.97,52222.1,56906.84,65651.1,73406.37,4895.81,8002.0,7620.4,7621.0,5901.31
138,m. School Education and Literacy,0.0,0.0,23142.22,29099.21,33214.0,48781.0,52701.0,6153.0,8466.5,56386.63,59845.0,54873.66,63449.37,68804.85
139,m. School Education and Literacy,0.0,0.0,23142.22,29099.21,33214.0,48781.0,52701.0,6153.0,34807.28,56386.63,59845.0,54873.66,63449.37,68804.85
140,m. School Education and Literacy,0.0,0.0,23142.22,29099.21,33214.0,48781.0,52701.0,35781.5,34807.28,56386.63,59845.0,54873.66,63449.37,68804.85
