Ministry,Budget_07-08,Budget_20-21,Budget_10-11,Budget_06-07,Budget_15-16,Budget_22-23,Budget_12-13,Budget_13-14,Budget_23-24,Budget_21-22,Budget_09-10,Budget_19-20,Budget_05-06,Budget_16-17,Growth_05-06_to_06-07,Growth_06-07_to_07-08,Growth_07-08_to_09-10,Growth_09-10_to_10-11,Growth_10-11_to_12-13,Growth_12-13_to_13-14,Growth_13-14_to_15-16,Growth_15-16_to_16-17,Growth_16-17_to_19-20,Growth_19-20_to_20-21,Growth_20-21_to_21-22,Growth_21-22_to_22-23,Growth_22-23_to_23-24,CAGR
Posts,1714.38,15525.38,4266.14,1765.2,7138.7,20820.02,6537.12,7527.09,25814.0,16528.22,6021.26,11299.1,1773.1,9025.53,-0.445547346455353,-2.8789938817131167,251.22084951994304,-29.14871638162112,53.23266465704359,15.143824803583234,-5.159895789740794,26.431002843655023,25.19043203003036,37.40368701932011,6.4593588047442445,25.966498509821378,23.986432289690402,22.87709315661026
Power,5552.19,15874.82,10474.87,5567.0,6725.93,16074.74,9519.11,10073.07,20671.32,15322.0,9202.0,15874.82,3061.7,12252.71,81.82708952542707,-0.2660319741332926,65.73640311300586,13.832536405129328,-9.124313714633214,5.819451608396154,-33.22859862981196,82.17123877292804,29.561705124825455,0.0,-3.4823701938037703,4.912805116825479,28.595050370954677,15.824498621177385
Railways,6886.31,72215.63,0.0,6800.14,40000.0,140367.13,24000.0,26000.0,241267.51,110054.64,14600.0,66768.67,6520.0,45000.0,4.296625766871171,1.2671797933571967,112.01485265693817,-100.0,0.0,8.333333333333332,53.84615384615385,12.5,48.37482222222222,8.157957916489885,52.3972580451074,27.54312766822008,71.88319658598135,32.018474857048275
Road Transport and Highways,30766.170000000002,91823.22,22184.9,15253.8,42841.65,199107.71,28438.21,28942.23,270434.71,118101.0,19565.0,83015.97,13889.55,46983.0,9.822132466494596,101.6951185933997,-36.40742412851519,13.390748786097632,28.18723546195835,1.7723337720623078,48.02470300318946,9.666644491983849,76.69363386756912,10.609103284584881,28.617794061240716,68.59104495304865,35.82332396872026,25.655827670624976
School Education and Literacy,23142.22,59845.0,33214.0,17132.71,6153.0,63449.37,48781.0,52701.0,68804.85,54873.66,29099.21,56386.63,12536.53,8466.5,36.66229810003245,35.07623720940822,25.740788913077473,14.140555705807826,46.868790269163604,8.03591562288596,-88.32469972106792,37.599544937428895,565.9969290734069,6.133315645925289,-8.307026485086467,15.628099164517181,8.44055662018394,13.99351133061495
Science and Technology,3550.0,6301.53,2369.0,1746.0,3835.7,6000.0,2873.22,3184.27,7931.05,6067.39,2133.0,5321.01,1636.0,4470.2,6.723716381418093,103.32187857961055,-39.91549295774648,11.064228785747773,21.284086112283656,10.825833037498006,20.457750127972812,16.541961050134265,19.032929175428404,18.427328646253237,-3.7156055751539614,-1.110691747192785,32.18416666666667,12.910521815809384
Shipping,3107.0,1800.0,1935.89,1236.67,1439.79,0.0,1679.49,1712.67,0.0,0.0,1755.53,1902.56,963.92,1531.0,28.295916673582884,151.23921498863885,-43.49758609591245,10.273820441689981,-13.244554184380315,1.9755997356340353,-15.933016868398472,6.334951624889744,24.269105160026122,-5.390631570095027,-100.0,0.0,0.0,0.0
Space,7717.2,13479.47,5778.0,3610.0,7388.19,13700.0,6715.0,6792.0,12543.91,13949.09,4959.0,11538.26,3148.0,7509.14,14.675984752223634,113.77285318559555,-35.74094231068263,16.515426497277677,16.216683973693318,1.14668652271035,8.777826855123669,1.6370721381014937,53.65621096423825,16.824113861188767,3.4839648739898585,-1.7857078848871155,-8.438613138686133,11.220406323805499
Steel,301.0,100.0,107.62,129.5,82.95,47.0,115.29,112.87,70.15,39.25,115.36,241.29,89.53,85.62,44.644253322908526,132.43243243243242,-61.67441860465116,-6.709431345353671,7.126928080282477,-2.0990545580709528,-26.508372463896517,3.2188065099457526,181.81499649614574,-58.55609432632931,-60.75000000000001,19.745222929936308,49.25531914893618,-1.8589501897123606
Telecommunications,3840.0,66431.69,7210.87,3166.46,13474.6,84586.8,10094.04,11703.14,97579.05,58737.0,7854.0,27338.36,2858.65,18413.87,10.767670054046489,21.271072427884764,104.53125000000001,-8.188566335625161,39.98366355238689,15.9410899897365,15.136621453729521,36.6561530583468,48.46612906466702,142.99808035302777,-11.58286052936483,44.009397824199404,15.359666047184668,31.20129542003689
