Ministry,Total_05-06,Total_06-07,Total_07-08,Total_09-10,Total_10-11,Total_12-13,Total_13-14,Total_15-16,Total_16-17,Total_19-20,Total_20-21,Total_21-22,Total_22-23,Total_23-24
Ministry of Personnel Public Grievances and Pensions,304.0,345.3,366.0,675.5,706.36,894.67,1019.94,0,1477.68,1629.59,1754.54,2058.57,2337.18,2207.74
Ministry of Petroleum and Natural Gas,3669.0,3106.62,0.0,3169.0,3179.0,43759.85,65188.41,30125.55,29160.62,42901.49,42901.00,15943.78,8939.86,41007.72
Ministry of Planning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,363.4,650.00,1062.77,321.42,824.39
Ministry of Ports Shipping and Waterways,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1702.35,1709.5,2218.74
Ministry of Power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15874.82,15874.82,15322.00,16074.74,20671.32
Ministry of Railways,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,66768.67,72215.63,110054.64,140367.13,241267.51
Ministry of Road Transport and Highways,12411.0,13741.31,14627.02,19565.0,22184.9,28438.21,28942.23,42841.65,46983.00,83015.97,91823.22,118101.00,199107.71,270434.71
Ministry of Skill Development and Entrepreneurship,3931.11,4852.94,5853.0,7428.0,11070.5,18584.0,20440.0,8999.79,3094.32,2989.21,3002.21,2785.23,2999.00,3517.31
Ministry of Statistics and Programme Implementation,1580.0,1580.0,1580.0,1580.0,568.35,3955.0,3955.0,876.87,772.82,5231.06,5444.00,1409.13,5398.08,5443.40
Ministry of Steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5831.48,3514.79,39.25,47.00,70.15
Ministry of Tourism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2189.22,2499.83,2026.77,2400.00,2400.00
Ministry of Youth Affairs and Sports,506.99,669.0,780.0,3073.0,3565.0,1152.0,1219.0,1398.84,1592.00,2216.92,2826.92,2596.14,3062.60,3397.32
Police,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,98202.23,105244.34,103802.52,117687.99,0
Rajya Sabha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,401.04,436.29,446.50,430.96,484.41
Repayment of Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,...,...,...,...,...
Secretariat of the Vice-President,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.98,7.25,7.43,8.64,9.31
Staff Household and Allowances of the President,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,63.78,80.98,74.47 ,79.45,90.14
Supreme Court of India,38.28,43.27,0.0,88.02,0.0,111.75,129.41,155.00,189.88,269.46,308.61,334.96,401.46,437.15
Transfers to Jammu and Kashmir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,30757.00,30757.00,0,0
Transfers to Puducherry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1545,1703.02,1729.79,0,0
Transfers to States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,166883.45,200447.45,957.51,334339.42,324641.41
Union Public Service Commission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,298.45,305.38,304.17,330.58,380.00
