Base_Ministry,05-06,06-07,07-08,09-10,10-11,12-13,13-14,15-16,16-17,18-19,19-20,20-21,21-22,22-23,23-24
Scientific and Industrial Research,1557.0,1750.0,1902.0,2691.0,2988.0,3484.0,3571.0,4031.0,4062.8,4795.97,4895.89,5385.0,5224.27,5636.46,5746.51
Biotechnology,458.6,534.6,694.7,1024.0,1222.0,1500.39,1502.06,1625.14,1820.0,2411.53,2580.34,2786.76,3502.37,2581.0,2683.86
Shipping,963.92,1236.67,1553.5,1755.53,1935.89,1679.49,1712.67,1439.79,1531.0,1881.13,1902.56,1800.0,1702.35,1709.5,2218.74
Road Transport and Highways,12411.0,1512.49,1512.13,19565.0,22184.9,28438.21,28942.23,42841.65,46983.0,71000.0,83015.97,91823.22,118101.0,199107.71,270434.71
Small Scale Industries,460.3,524.24,585.41,349.0,447.7,498.35,497.7,606.0,361.0,770.91,822.05,882.61,534.88,3306.0,6171.63
Social Justice and Empowerment,1599.7,5567.0,5552.19,9202.0,10474.87,9519.11,10073.07,6725.93,12252.71,15046.92,15874.82,15874.82,15322.0,16074.74,20671.32
Space,3148.0,3610.0,3858.6,4959.0,5778.0,6715.0,6792.0,7388.19,7509.14,10783.42,11538.26,13479.47,13949.09,13700.0,12543.91
Statistics and Programme Implementation,259.99,1580.0,1580.0,535.27,568.35,988.54,996.68,876.87,772.82,4859.0,5231.06,5444.0,1409.13,5398.08,5443.4
Steel,89.53,129.5,150.5,115.36,107.62,115.29,112.87,82.95,85.62,47.9,241.29,100.0,39.25,47.0,70.15
Textiles,2008.25,3045.75,3136.68,5398.0,5608.08,7836.41,5431.59,4274.8,4594.82,7147.73,5831.48,3514.79,3631.64,12382.14,4389.34
Tourism,828.2,872.82,996.62,1070.0,1119.41,1282.98,1357.3,1553.07,1590.32,2150.0,2189.22,2499.83,2026.77,2400.0,2400.0
Tribal Affairs,402.73,1216.71,1216.71,819.61,1213.87,1591.0,1778.94,1065.37,399.28,6000.0,6526.96,7411.0,7524.87,8451.92,12461.88
Urban Development,3180.05,3206.26,3814.52,5245.78,7489.37,9685.99,10363.75,13192.87,17461.6,41765.13,48032.17,50039.9,54581.0,76549.46,76431.6
Water Resources,874.56,961.51,871.76,1003.0,1105.0,2041.0,2076.55,2232.43,4566.8,8860.0,8041.25,8960.39,9022.57,18967.88,20054.67
Youth Affairs and Sports,506.99,669.0,780.0,3073.0,3565.0,1152.0,1219.0,1398.84,1592.0,2196.35,2216.92,2826.92,2596.14,3062.6,3397.32
Railways,6520.0,6800.14,6886.31,14600.0,,24000.0,26000.0,40000.0,45000.0,55088.0,66768.67,72215.63,110054.64,140367.13,241267.51
Agriculture and Cooperation,30.0,40.0,40.0,7715.6,8885.97,11313.22,11979.5,6203.85,23228.83,46700.0,129585.21,134399.77,123017.57,900.0,1150.38
Finance,26500.33,29562.28,36808.2,63946.59,37609.1,24437.23,23369.39,24866.8,31975.52,6577.06,4690.19,11125.0,29510.79,5313.73,1324.64
Statistics and Programme Implementation,1580.0,1580.0,1580.0,535.27,568.35,988.54,996.68,876.87,772.82,4859.0,5231.06,5444.0,1409.13,5398.08,5443.4
Road Transport and Highways,1478.55,1512.49,1512.13,19565.0,22184.9,28438.21,28942.23,42841.65,46983.0,71000.0,83015.97,91823.22,118101.0,199107.71,270434.71
Tribal Affairs,1107.01,1216.71,1216.71,819.61,1213.87,1591.0,1778.94,1065.37,399.28,6000.0,6526.96,7411.0,7524.87,8451.92,12461.88
DONER,1046.5,1300.0,1300.0,1374.0,,1700.0,1780.0,1798.0,1600.0,,,,,,
North Eastern Region,461.5,62.79,93.07,101.47,209.33,229.33,250.97,564.74,830.01,3000.0,3000.0,3048.73,2658.0,2800.0,5892.0
Central Pool of Resources for NE and Sikkim,585.0,700.0,600.0,700.0,2665.8,879.0,948.0,970.0,230.51,2511.4,2227.24,2251.24,2170.42,2259.34,2419.23
UNION TERRITORIES,4026.77,4878.84,5341.99,50.0,1119.41,1282.98,1357.3,1553.07,1590.32,2150.0,2189.22,2499.83,2026.77,2400.0,2400.0
Union Territories with Legislature,885.49,4878.84,5341.99,1276.0,1238.0,1447.0,2062.0,2169.0,2500.0,2843.32,3042.35,3149.86,2687.99,3009.05,3399.65
Pondicherry,698.1,740.3,642.32,1028.59,745.89,1205.0,1268.2,1377.01,1409.0,1476.0,1545.0,1703.02,1729.79,,
Union Territories without Legislature,3141.28,4878.84,5341.99,1276.0,1238.0,1447.0,2062.0,2169.0,2500.0,2843.32,3042.35,3149.86,2687.99,3009.05,3399.65
Andaman & Nicobar Islands,1675.59,1977.93,1854.83,2689.23,2064.31,2982.65,3192.7,3748.38,4072.02,4523.86,4817.48,5164.26,5317.41,5703.65,192.32
Chandigarh,994.43,1032.9,1104.91,1772.56,1920.89,2546.96,3074.32,3457.16,3544.54,4084.83,4291.7,4635.1,4661.12,,
Dadra & Nagar Haveli,114.7,121.5,131.88,247.13,287.02,716.56,796.98,892.9,1060.84,1114.44,1177.99,2180.52,2204.59,,
Daman & Diu,115.52,121.89,130.67,239.09,269.18,683.2,758.71,879.82,766.72,773.49,821.48,2180.52,2204.59,5703.65,
Lakshadweep,241.04,381.81,444.58,676.98,710.28,806.55,927.61,1059.99,1224.54,1360.31,1276.74,1349.71,1440.56,,
