Sector_12,Fiscal_Year,Budget_Amount,GDP_Growth_Rate,Inflation_CPI,Exchange_Rate_USD,Fiscal_Deficit_GDP,Global_GDP_Growth,Election_Year,High_Inflation,GDP_Growth_Lag1,Inflation_Lag1,Sector_Share_GDP,Sector_Share_Lag1,Sector_Share_Growth,Budget_Lag1,Budget_Lag2,Budget_Growth_Lag1,Trend,Inflation_x_Election,GDPGrowth_x_Election
defense security,13-14,156254.41999999998,7.41022760508854,9.4,60.5,4.5,3.6,0.0,1.0,6.38610640094825,10.2,2.1,2.0,0.050000000000000044,141818.58,249362.15,0.10179089368967031,8,0.0,0.0
defense security,15-16,192356.3,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9,2.0,2.1,-0.04761904761904767,156254.41999999998,141818.58,0.23104549618500392,9,0.0,0.0
defense security,16-17,310338.05,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9,1.9,2.0,-0.050000000000000044,192356.3,156254.41999999998,0.6133500696363987,10,0.0,0.0
defense security,17-18,265626.11,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5,1.9,1.9,0.0,310338.05,192356.3,-0.14407495310355922,11,0.0,0.0
defense security,18-19,37205.54,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6,1.9,1.9,0.0,265626.11,310338.05,-0.8599326700225366,12,0.0,0.0
defense security,19-20,39026.05,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4,1.9,1.9,0.0,37205.54,265626.11,0.048931153801288874,13,4.8,5.77772470686801
defense security,20-21,37002.0,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8,1.9,1.9,0.0,39026.05,37205.54,-0.051864075406042986,14,0.0,0.0
defense security,21-22,38135.08,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2,1.9,1.9,0.0,37002.0,39026.05,0.030622128533592807,15,0.0,0.0
defense security,22-23,47821.0,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5,1.9,1.9,0.0,38135.08,37002.0,0.2539897648044791,16,0.0,0.0
defense security,23-24,51126.31,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7,1.9,1.9,0.0,47821.0,38135.08,0.0691183789548524,17,0.0,0.0
economic services,05-06,170679.0,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,3.8,4.5,,,,,,1,0.0,0.0
economic services,06-07,182168.45,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2,4.6,4.5,0.022222222222222143,170679.0,,0.06731613145143811,2,0.0,0.0
economic services,07-08,202392.49,3.08669805921981,6.2,40.24,2.7,3.0,0.0,1.0,7.6608150670107,6.6,4.7,4.6,0.021739130434782705,182168.45,170679.0,0.11101834593202042,3,0.0,0.0
economic services,09-10,275949.66,8.49758470221235,12.3,47.42,6.4,4.6,1.0,1.0,7.86188883286074,9.1,4.9,4.7,0.042553191489361764,202392.49,182168.45,0.3634382382468835,4,12.3,8.49758470221235
economic services,10-11,300147.1,5.24131619937695,10.5,45.58,6.5,3.3,0.0,1.0,8.49758470221235,12.3,5.0,4.9,0.020408163265306145,275949.66,202392.49,0.08768787756433549,5,0.0,0.0
economic services,11-12,342764.48,5.45638755166587,8.4,47.92,5.9,3.5,0.0,1.0,5.24131619937695,10.5,5.1,5.0,0.020000000000000018,300147.1,275949.66,0.1419883117311478,6,0.0,0.0
economic services,12-13,404609.2,6.38610640094825,10.2,53.21,5.9,3.4,0.0,1.0,5.45638755166587,8.4,5.1,5.1,0.0,342764.48,300147.1,0.18042919733106544,7,0.0,0.0
economic services,13-14,463665.78,7.41022760508854,9.4,60.5,4.5,3.6,0.0,1.0,6.38610640094825,10.2,5.2,5.1,0.019607843137255054,404609.2,342764.48,0.14595955801301597,8,0.0,0.0
economic services,15-16,587662.1499999999,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9,5.3,5.2,0.019230769230769162,463665.78,404609.2,0.26742618357559156,9,0.0,0.0
economic services,16-17,625239.6900000001,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9,5.3,5.3,0.0,587662.1499999999,463665.78,0.0639441216351948,10,0.0,0.0
economic services,17-18,51887.06,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5,5.3,5.3,0.0,625239.6900000001,587662.1499999999,-0.9170125300266847,11,0.0,0.0
economic services,18-19,51204.78,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6,5.3,5.3,0.0,51887.06,625239.6900000001,-0.013149328560916662,12,0.0,0.0
economic services,19-20,55617.17,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4,5.3,5.3,0.0,51204.78,51887.06,0.08617144727503945,13,4.8,5.77772470686801
economic services,20-21,71966.5,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8,5.1,5.3,-0.037735849056603765,55617.17,51204.78,0.29396191859456366,14,0.0,0.0
economic services,21-22,96539.95,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2,5.2,5.1,0.019607843137255054,71966.5,55617.17,0.34145678892262366,15,0.0,0.0
economic services,22-23,76252.66,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5,5.3,5.2,0.019230769230769162,96539.95,71966.5,-0.21014398702298887,16,0.0,0.0
economic services,23-24,61298.689999999995,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7,5.3,5.3,0.0,76252.66,96539.95,-0.19611079797085118,17,0.0,0.0
