Sector_12,Fiscal_Year,Budget_Amount,GDP_Growth_Rate,Inflation_CPI,Exchange_Rate_USD,Fiscal_Deficit_GDP,Global_GDP_Growth,Election_Year,High_Inflation,GDP_Growth_Lag1,Inflation_Lag1
energy and natural resources,10-11,73680.87,5.24131619937695,10.5,45.58,6.5,3.3,0.0,1.0,8.49758470221235,12.3
energy and natural resources,11-12,73942.15,5.45638755166587,8.4,47.92,5.9,3.5,0.0,1.0,5.24131619937695,10.5
energy and natural resources,12-13,85874.31,6.38610640094825,10.2,53.21,5.9,3.4,0.0,1.0,5.45638755166587,8.4
energy and natural resources,13-14,92370.92,7.41022760508854,9.4,60.5,4.5,3.6,0.0,1.0,6.38610640094825,10.2
energy and natural resources,15-16,95909.92,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9
energy and natural resources,16-17,101509.17,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9
energy and natural resources,17-18,107896.06,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5
energy and natural resources,18-19,110532.9,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6
energy and natural resources,19-20,121172.29,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4
energy and natural resources,20-21,120093.16,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8
energy and natural resources,21-22,127492.48,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2
energy and natural resources,22-23,167959.67,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5
energy and natural resources,23-24,246136.28,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7
food distribution,05-06,26909.99,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,
food distribution,06-07,24967.5,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2
food distribution,07-08,26592.94,3.08669805921981,6.2,40.24,2.7,3.0,0.0,1.0,7.6608150670107,6.6
food distribution,09-10,54079.5,8.49758470221235,12.3,47.42,6.4,4.6,1.0,1.0,7.86188883286074,9.1
food distribution,10-11,57017.97,5.24131619937695,10.5,45.58,6.5,3.3,0.0,1.0,8.49758470221235,12.3
food distribution,11-12,62796.66,5.45638755166587,8.4,47.92,5.9,3.5,0.0,1.0,5.24131619937695,10.5
food distribution,12-13,77539.99,6.38610640094825,10.2,53.21,5.9,3.4,0.0,1.0,5.45638755166587,8.4
food distribution,13-14,92310.56,7.41022760508854,9.4,60.5,4.5,3.6,0.0,1.0,6.38610640094825,10.2
food distribution,15-16,125972.28,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9
food distribution,16-17,142027.63,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9
food distribution,17-18,155031.69,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5
food distribution,18-19,177344.27000000002,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6
food distribution,19-20,195709.31000000003,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4
food distribution,20-21,125768.37,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8
food distribution,21-22,258257.06,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2
food distribution,22-23,220626.45,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5
food distribution,23-24,209052.25,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7
governance and administration,05-06,4849.17,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,
governance and administration,06-07,5064.3,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2
governance and administration,07-08,5823.700000000001,3.08669805921981,6.2,40.24,2.7,3.0,0.0,1.0,7.6608150670107,6.6
governance and administration,09-10,8884.45,8.49758470221235,12.3,47.42,6.4,4.6,1.0,1.0,7.86188883286074,9.1
governance and administration,10-11,8025.030000000001,5.24131619937695,10.5,45.58,6.5,3.3,0.0,1.0,8.49758470221235,12.3
governance and administration,11-12,9554.5,5.45638755166587,8.4,47.92,5.9,3.5,0.0,1.0,5.24131619937695,10.5
governance and administration,12-13,12349.48,6.38610640094825,10.2,53.21,5.9,3.4,0.0,1.0,5.45638755166587,8.4
governance and administration,13-14,14822.97,7.41022760508854,9.4,60.5,4.5,3.6,0.0,1.0,6.38610640094825,10.2
governance and administration,15-16,19136.36,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9
governance and administration,16-17,21067.06,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9
governance and administration,17-18,20831.13,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5
governance and administration,18-19,66410.34,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6
governance and administration,19-20,68254.9,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4
governance and administration,20-21,81494.2,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8
governance and administration,21-22,77450.87,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2
governance and administration,22-23,87283.70999999999,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5
governance and administration,23-24,94545.62,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7
infrastructure and transport,05-06,17188.47,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,
infrastructure and transport,06-07,6404.02,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2
infrastructure and transport,07-08,7497.71,3.08669805921981,6.2,40.24,2.7,3.0,0.0,1.0,7.6608150670107,6.6
infrastructure and transport,09-10,27453.31,8.49758470221235,12.3,47.42,6.4,4.6,1.0,1.0,7.86188883286074,9.1
infrastructure and transport,10-11,34495.16,5.24131619937695,10.5,45.58,6.5,3.3,0.0,1.0,8.49758470221235,12.3
infrastructure and transport,11-12,36931.34,5.45638755166587,8.4,47.92,5.9,3.5,0.0,1.0,5.24131619937695,10.5
infrastructure and transport,12-13,45042.49,6.38610640094825,10.2,53.21,5.9,3.4,0.0,1.0,5.45638755166587,8.4
infrastructure and transport,13-14,46900.83,7.41022760508854,9.4,60.5,4.5,3.6,0.0,1.0,6.38610640094825,10.2
infrastructure and transport,15-16,60815.81,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9
infrastructure and transport,16-17,68566.28,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9
infrastructure and transport,17-18,103586.84,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5
infrastructure and transport,18-19,121249.12,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6
infrastructure and transport,19-20,137450.7,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4
infrastructure and transport,20-21,147460.83000000002,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8
infrastructure and transport,21-22,177609.02,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2
infrastructure and transport,22-23,288033.67,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5
infrastructure and transport,23-24,352198.41000000003,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7
regional and development,05-06,3237.56,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,
regional and development,06-07,4474.14,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2
regional and development,07-08,4381.32,3.08669805921981,6.2,40.24,2.7,3.0,0.0,1.0,7.6608150670107,6.6
regional and development,09-10,4429.92,8.49758470221235,12.3,47.42,6.4,4.6,1.0,1.0,7.86188883286074,9.1
