Sector_12,Fiscal_Year,Budget_Amount,GDP_Growth_Rate,Inflation_CPI,Exchange_Rate_USD,Fiscal_Deficit_GDP,Global_GDP_Growth,Election_Year,High_Inflation,GDP_Growth_Lag1,Inflation_Lag1,Sector_Share_GDP,Year_End,Budget_Lag1,Budget_Lag2,Budget_Growth_Lag1,Sector_Share_Lag1,Sector_Share_Growth,Budget_Log,Share_Log,Budget_Log_Diff1,Share_Log_Diff1,Budget_LogDiff1_MA3,Share_LogDiff1_MA3,Trend,Inflation_x_Election,GDPGrowth_x_Election
economic services,06-07,182168.45,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2,4.6,2007,170679.0,,0.06731613145143811,4.5,0.022222222222222143,12.112687087452693,1.5260563034950492,0.06514720908519323,0.021978906718775004,0.06514720908519323,0.021978906718775004,2,0.0,0.0
economic services,07-08,202392.49,3.08669805921981,6.2,40.24,2.7,3.0,0.0,1.0,7.6608150670107,6.6,4.7,2008,182168.45,170679.0,0.11101834593202042,4.6,0.021739130434782705,12.217964110963967,1.547562508716013,0.10527702351127388,0.021506205220963803,0.08521211629823355,0.021742555969869404,3,0.0,0.0
economic services,09-10,275949.66,8.49758470221235,12.3,47.42,6.4,4.6,1.0,1.0,7.86188883286074,9.1,4.9,2010,202392.49,182168.45,0.3634382382468835,4.7,0.042553191489361764,12.527973736759622,1.589235205116581,0.3100096257956544,0.04167269640056803,0.1601446194640405,0.028385936113435612,4,12.3,8.49758470221235
economic services,10-11,300147.1,5.24131619937695,10.5,45.58,6.5,3.3,0.0,1.0,8.49758470221235,12.3,5.0,2011,275949.66,202392.49,0.08768787756433549,4.9,0.020408163265306145,12.612027966797564,1.6094379124341003,0.08405423003794255,0.020202707317519275,0.1664469597816236,0.02779386964635037,5,0.0,0.0
economic services,11-12,342764.48,5.45638755166587,8.4,47.92,5.9,3.5,0.0,1.0,5.24131619937695,10.5,5.1,2012,300147.1,275949.66,0.1419883117311478,5.0,0.020000000000000018,12.744798843067576,1.62924053973028,0.13277087627001194,0.019802627296179764,0.17561157736786961,0.027226010338089024,6,0.0,0.0
economic services,12-13,404609.2,6.38610640094825,10.2,53.21,5.9,3.4,0.0,1.0,5.45638755166587,8.4,5.1,2013,342764.48,300147.1,0.18042919733106544,5.1,0.0,12.910676941964434,1.62924053973028,0.165878098896858,0.0,0.12756773506827082,0.01333511153789968,7,0.0,0.0
economic services,13-14,463665.78,7.41022760508854,9.4,60.5,4.5,3.6,0.0,1.0,6.38610640094825,10.2,5.2,2014,404609.2,342764.48,0.14595955801301597,5.1,0.019607843137255054,13.046919269942327,1.6486586255873816,0.13624232797789304,0.019418085857101586,0.144963767714921,0.013073571051093783,8,0.0,0.0
economic services,15-16,587662.1499999999,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9,5.3,2016,463665.78,404609.2,0.26742618357559156,5.2,0.019230769230769162,13.283907486919457,1.667706820558076,0.2369882169771298,0.019048194970694432,0.17970288128396028,0.01282209360926534,9,0.0,0.0
economic services,16-17,625239.6900000001,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9,5.3,2017,587662.1499999999,463665.78,0.0639441216351948,5.3,0.0,13.345890359199675,1.667706820558076,0.06198287228021826,0.0,0.1450711390784137,0.01282209360926534,10,0.0,0.0
economic services,17-18,51887.06,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5,5.3,2018,625239.6900000001,587662.1499999999,-0.9170125300266847,5.3,0.0,10.856824712440975,1.667706820558076,-2.4890656467587,0.0,-0.7300315191671173,0.00634939832356481,11,0.0,0.0
economic services,18-19,51204.78,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6,5.3,2019,51887.06,625239.6900000001,-0.013149328560916662,5.3,0.0,10.843588166044883,1.667706820558076,-0.013236546396091953,0.0,-0.8134397736248579,0.0,12,0.0,0.0
economic services,19-20,55617.17,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4,5.3,2020,51204.78,51887.06,0.08617144727503945,5.3,0.0,10.926247245515409,1.667706820558076,0.08265907947052575,0.0,-0.8065477045614221,0.0,13,4.8,5.77772470686801
economic services,20-21,71966.5,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8,5.1,2021,55617.17,51204.78,0.29396191859456366,5.3,-0.037735849056603765,11.183956011945122,1.62924053973028,0.2577087664297135,-0.03846628082779602,0.10904376650138244,-0.01282209360926534,14,0.0,0.0
economic services,21-22,96539.95,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2,5.2,2022,71966.5,55617.17,0.34145678892262366,5.1,0.019607843137255054,11.477712191294316,1.6486586255873816,0.2937561793491934,0.019418085857101586,0.21137467508314423,-0.00634939832356481,15,0.0,0.0
economic services,22-23,76252.66,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5,5.3,2023,96539.95,71966.5,-0.21014398702298887,5.2,0.019230769230769162,11.241807579107084,1.667706820558076,-0.23590461218723213,0.019048194970694432,0.10518677786389159,0.0,16,0.0,0.0
economic services,23-24,61298.689999999995,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7,5.3,2024,76252.66,96539.95,-0.19611079797085118,5.3,0.0,11.023513751386004,1.667706820558076,-0.2182938277210802,0.0,-0.053480753519706305,0.01282209360926534,17,0.0,0.0
energy and natural resources,05-06,27353.06,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,,3.5,2006,,,,,,10.216583684589864,1.252762968495368,,,,,1,0.0,0.0
energy and natural resources,06-07,31640.27,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2,3.5,2007,27353.06,,0.1567360288026276,3.5,0.0,10.362185955347076,1.252762968495368,0.14560227075721244,0.0,0.14560227075721244,0.0,2,0.0,0.0
