Sector_12,Fiscal_Year,Year_End,Budget_Amount,Split,z_Sector_Share_GDP,z_Sector_Share_Lag1,z_Sector_Share_Growth,z_Share_Log,z_Share_Log_Diff1,z_Share_LogDiff1_MA3,z_Budget_Lag1,z_Budget_Lag2,z_Budget_Growth_Lag1,z_GDP_Growth_Rate,z_Inflation_CPI,z_Exchange_Rate_USD,z_Fiscal_Deficit_GDP,z_Global_GDP_Growth,z_Election_Year,z_High_Inflation,z_GDP_Growth_Lag1,z_Inflation_Lag1,z_Inflation_x_Election,z_GDPGrowth_x_Election,z_Trend
governance and administration,22-23,2023,87283.70999999999,val,-0.11295699975049882,-0.07434194773035249,-0.5575425334772164,0.3112528394546728,-0.5612196646370831,0.4247214012413337,-0.139363205353155,-0.04575714175867994,-0.16494963430819046,1.3251898153438886,-0.004797556555024525,1.6788895940507014,0.8087019059920443,-0.27934486647941864,-0.3779644730092272,-1.1338934190276817,0.3740175216210012,-0.4329525737655819,-0.34221429324236174,-0.3703599479409377,1.6269784336399213
infrastructure and transport,05-06,2006,17188.47,train,-0.5680950939832775,-0.33583882026081474,-0.14631422356995583,-0.3981863517812578,-0.12957746601061873,0.021751042428375528,-0.35158124794100204,-0.3252125644467319,-0.186288480180906,0.6880903780846179,-0.9643088675599158,-1.1948888778431248,-0.6092959565693482,0.4469517863670697,-0.3779644730092272,-1.1338934190276817,0.3740175216210012,-0.27901388087115264,-0.34221429324236174,-0.3703599479409377,-1.6269784336399213
infrastructure and transport,06-07,2007,6404.02,train,-0.5498895702139663,-0.5599789967154967,0.6467689455369023,-0.35917107360062356,0.680757792474503,0.9888587514558104,-0.7250984939046087,-0.3252125644467319,-1.593746774893735,0.46261942591851407,-0.04317800899522038,-1.1166117403940212,-0.9637954222096964,0.5586897329588373,-0.3779644730092272,0.8819171036881969,0.6908361597053615,-0.9332533256724765,-0.34221429324236174,-0.3703599479409377,-1.4100479758212652
infrastructure and transport,07-08,2008,7497.71,train,-0.5498895702139663,-0.5413006486776065,-0.14631422356995583,-0.35917107360062356,-0.12957746601061873,0.35712906638310893,-0.8299206206804876,-0.6922710614451163,-0.0819431227393197,-2.116238726223137,-0.1966998187560028,-1.5072224064766773,-1.3773781321234355,-0.16760691988765108,-0.3779644730092272,0.8819171036881969,0.41013076378930347,-0.009621168305901958,-0.34221429324236174,-0.3703599479409377,-1.193117518002609
infrastructure and transport,09-10,2010,27453.31,train,-0.5316840464446552,-0.5413006486776065,0.6194212500504581,-0.321478605021626,0.6532834462579804,0.5534264681820981,-0.8192902304581293,-0.8006952569431285,4.635598377899927,0.9343848380251348,2.1445077800959322,-0.9507572115414648,0.8087019059920443,0.7262966528464884,2.6457513110645903,0.8819171036881969,0.5512660989376004,0.9524956622842801,3.596251958810083,3.1570340302891373,-0.9761870601839528
infrastructure and transport,10-11,2011,34495.16,train,-0.5316840464446552,-0.5226223006397164,-0.14631422356995583,-0.321478605021626,-0.12957746601061873,0.13227334480029834,-0.625326844927228,-0.7896995679303164,0.08041271311473747,-0.9014786870653145,1.4536596361724103,-1.093361105508149,0.8677851502654353,0.0,-0.3779644730092272,0.8819171036881969,0.9974662742515673,2.1840052054397137,-0.34221429324236174,-0.3703599479409377,-0.7592566023652966
infrastructure and transport,11-12,2012,36931.34,train,-0.5316840464446552,-0.5226223006397164,-0.14631422356995583,-0.321478605021626,-0.12957746601061873,0.13227334480029834,-0.5568818437044746,-0.5890708964931887,-0.271642672188689,-0.7802228229941246,0.6476701349283016,-0.9120061533983441,0.5132856846250875,0.11173794659176756,-0.3779644730092272,0.8819171036881969,-1.2881354527448101,1.4912810874147822,-0.34221429324236174,-0.3703599479409377,-0.5423261445466404
infrastructure and transport,12-13,2013,45042.49,train,-0.513478522675344,-0.5226223006397164,0.5938967342631115,-0.285022180304257,0.6276111976205507,0.11893078370021855,-0.5332027901775113,-0.5182738766110735,0.01057144680797179,-0.2560532336312214,1.338518278851823,-0.5020199582441278,0.5132856846250875,0.05586897329588378,-0.3779644730092272,0.8819171036881969,-1.1371750961922198,0.6831029497190294,-0.34221429324236174,-0.3703599479409377,-0.32539568672798425
infrastructure and transport,13-14,2014,46900.83,train,-0.513478522675344,-0.5039439526018261,-0.14631422356995583,-0.285022180304257,-0.12957746601061873,0.11893078370021855,-0.4543644633645379,-0.49378112486310793,-0.3272626104512233,0.3213398045398408,1.0314746593302582,0.06297046948257104,-0.31387973520239154,0.16760691988765133,-0.3779644730092272,0.8819171036881969,-0.48459776551737643,1.37582706774396,-0.34221429324236174,-0.3703599479409377,-0.10846522890932808
infrastructure and transport,15-16,2016,60815.81,train,-0.4952729989060329,-0.5039439526018261,0.5700189614297845,-0.24972330003191825,0.6035693575821734,0.49996699238102216,-0.43630186851058733,-0.4122336270014922,0.15652637301907224,0.7983531554316704,-0.6956457004785462,0.4473809662623273,-0.6683792008427396,0.0,-0.3779644730092272,-1.1338934190276817,0.6455779678831152,-0.27901388087115264,-0.34221429324236174,-0.3703599479409377,0.10846522890932808
infrastructure and transport,16-17,2017,68566.28,train,-0.4952729989060329,-0.48526560456393597,-0.14631422356995583,-0.24972330003191825,-0.12957746601061873,0.10643558999121475,-0.3010517817983471,-0.39355033583117044,-0.1640294140378673,-0.02530544719826005,-0.849167510239329,0.5721593734831757,-0.904712177936305,0.27934486647941864,-0.3779644730092272,-1.1338934190276817,0.8281104128748196,-0.6638606131072254,-0.34221429324236174,-0.3703599479409377,0.32539568672798425
infrastructure and transport,17-18,2018,103586.84,train,-0.47706747513672176,-0.48526560456393597,0.5476335493985368,-0.21551071328910412,0.5810073770174669,0.47574572790685116,-0.2257191733748627,-0.25365256525678515,0.5619670577555296,-0.21785906394139185,-1.1945915822010897,0.36910382881322434,-0.904712177936305,0.16760691988765133,-0.3779644730092272,-1.1338934190276817,-0.19732284994554286,-0.8177993060016547,-0.34221429324236174,-0.3703599479409377,0.5423261445466404
infrastructure and transport,18-19,2019,121249.12,train,-0.47706747513672176,-0.4665872565260459,-0.14631422356995583,-0.21551071328910412,-0.12957746601061873,0.09470951922604752,0.11467181365574838,-0.17573125499233228,-0.0824636006100973,-1.6738079229948941,-1.2713524870814812,0.7930404048989641,-0.9637954222096964,-0.27934486647941864,-0.3779644730092272,-1.1338934190276817,-0.4370470303939875,-1.1641613650141203,-0.34221429324236174,-0.3703599479409377,0.7592566023652966
infrastructure and transport,19-20,2020,137450.7,train,-0.4588619513674106,-0.4665872565260459,0.5266048290055563,-0.1823195518262356,0.5597926899296083,0.45299381119081156,0.2863447087325553,0.1763568017829197,-0.15232342727062442,-0.5990549733594107,-0.7340261529187421,1.1503251609785363,-0.25479649092900036,-3.4638763443447904,2.6457513110645903,0.8819171036881969,-2.2496650061812344,-1.2411307114613348,1.1947481465829826,2.0280052408839904,0.9761870601839528
infrastructure and transport,20-21,2021,147460.83000000002,train,-0.4588619513674106,-0.44790890848815573,-0.14631422356995583,-0.1823195518262356,-0.12957746601061873,0.08368367327517166,0.44381996919827643,0.35392900061184757,-0.2674697345964927,1.606431268120965,-0.1966998187560028,1.049572409806423,2.463032745647001,1.6202002255806283,-0.3779644730092272,-1.1338934190276817,-0.9116258958610451,-0.7023452863308329,-0.34221429324236174,-0.3703599479409377,1.193117518002609
infrastructure and transport,21-22,2022,177609.02,train,-0.4406564275980995,-0.44790890848815573,0.5068130921651033,-0.15009058976485135,0.5398081060159386,0.43158143713740676,0.5411159013879596,0.5168156825749228,-0.01817768331783618,0.4336121919431219,-0.46536298583737246,1.1534252456299854,0.9859516388122181,0.05586897329588378,-0.3779644730092272,0.8819171036881969,1.8341463761524435,-0.16355986120033086,-0.34221429324236174,-0.3703599479409377,1.4100479758212652
infrastructure and transport,22-23,2023,288033.67,val,-0.4406564275980995,-0.42923056045026553,-0.14631422356995583,-0.15009058976485135,-0.12957746601061873,0.07329714517264273,0.8341486841671725,0.6174550561248504,0.7721521905221925,1.3251898153438886,-0.004797556555024525,1.6788895940507014,0.8087019059920443,-0.27934486647941864,-0.3779644730092272,-1.1338934190276817,0.3740175216210012,-0.4329525737655819,-0.34221429324236174,-0.3703599479409377,1.6269784336399213
regional and development,05-06,2006,3237.56,train,-0.5680950939832775,-0.33583882026081474,-0.14631422356995583,-0.3981863517812578,-0.12957746601061873,0.021751042428375528,-0.35158124794100204,-0.3252125644467319,-0.186288480180906,0.6880903780846179,-0.9643088675599158,-1.1948888778431248,-0.6092959565693482,0.4469517863670697,-0.3779644730092272,-1.1338934190276817,0.3740175216210012,-0.27901388087115264,-0.34221429324236174,-0.3703599479409377,-1.6269784336399213
regional and development,06-07,2007,4474.14,train,-0.5316840464446552,-0.5599789967154967,1.439852114643756,-0.321478605021626,1.4636187047431022,2.209480641925479,-0.860697811130696,-0.3252125644467319,0.3180066815807952,0.46261942591851407,-0.04317800899522038,-1.1166117403940212,-0.9637954222096964,0.5586897329588373,-0.3779644730092272,0.8819171036881969,0.6908361597053615,-0.9332533256724765,-0.34221429324236174,-0.3703599479409377,-1.4100479758212652
regional and development,07-08,2008,4381.32,train,-0.4952729989060329,-0.5226223006397164,1.3341076920961743,-0.24972330003191825,1.360758021213343,2.1292914282238633,-0.8486785662430553,-0.8325300633613173,-0.4446972219696969,-2.116238726223137,-0.1966998187560028,-1.5072224064766773,-1.3773781321234355,-0.16760691988765108,-0.3779644730092272,0.8819171036881969,0.41013076378930347,-0.009621168305901958,-0.34221429324236174,-0.3703599479409377,-1.193117518002609
regional and development,09-10,2010,4429.92,train,-0.34962880875154373,-0.48526560456393597,5.405267960178038,-0.001627538015512325,5.023294762961936,4.006080970937646,-0.8495807531702826,-0.8200977935961524,-0.38439511531636056,0.9343848380251348,2.1445077800959322,-0.9507572115414648,0.8087019059920443,0.7262966528464884,2.6457513110645903,0.8819171036881969,0.5512660989376004,0.9524956622842801,3.596251958810083,3.1570340302891373,-0.9761870601839528
regional and development,10-11,2011,4701.379999999999,train,-0.3132177612129214,-0.33583882026081474,0.9640022131796429,0.05261840764247451,0.9970940443915229,3.76361550274488,-0.8491083734604868,-0.8210309829406369,-0.28934225253173884,-0.9014786870653145,1.4536596361724103,-1.093361105508149,0.8677851502654353,0.0,-0.3779644730092272,0.8819171036881969,0.9974662742515673,2.1840052054397137,-0.34221429324236174,-0.3703599479409377,-0.7592566023652966
regional and development,11-12,2012,5715.32,train,-0.258601189904988,-0.2984821241850344,1.439852114643756,0.12932615440210576,1.4636187047430973,3.817074978545956,-0.8464698509086107,-0.8205423705495365,0.0030726371857601373,-0.7802228229941246,0.6476701349283016,-0.9120061533983441,0.5132856846250875,0.11173794659176756,-0.3779644730092272,0.8819171036881969,-1.2881354527448101,1.4912810874147822,-0.34221429324236174,-0.3703599479409377,-0.5423261445466404
regional and development,12-13,2013,6393.98,train,-0.29501223744361027,-0.24244708007136398,-1.1332621673473782,0.0787801167809424,-1.1794030310497787,0.593365381823039,-0.8366146105186849,-0.8178131787864061,-0.18050286817723835,-0.2560532336312214,1.338518278851823,-0.5020199582441278,0.5132856846250875,0.05586897329588378,-0.3779644730092272,0.8819171036881969,-1.1371750961922198,0.6831029497190294,-0.34221429324236174,-0.3703599479409377,-0.32539568672798425
regional and development,13-14,2014,7001.549999999999,train,-0.3314232849822326,-0.2798037761471443,-1.1791667228719094,0.025826235578678924,-1.2294131973658813,-0.5638105762505456,-0.8300182069415236,-0.8076192765676324,-0.2254320692036063,0.3213398045398408,1.0314746593302582,0.06297046948257104,-0.31387973520239154,0.16760691988765133,-0.3779644730092272,0.8819171036881969,-0.48459776551737643,1.37582706774396,-0.34221429324236174,-0.3703599479409377,-0.10846522890932808
regional and development,15-16,2016,6443.86,train,-0.386039856290166,-0.31716047222292465,-1.7711675456425378,-0.05865651726435534,-1.884258107928379,-2.303792591830068,-0.8241127801867776,-0.8007961966222777,-0.5562662972350997,0.7983531554316704,-0.6956457004785462,0.4473809662623273,-0.6683792008427396,0.0,-0.3779644730092272,-1.1338934190276817,0.6455779678831152,-0.27901388087115264,-0.34221429324236174,-0.3703599479409377,0.10846522890932808
regional and development,16-17,2017,5700.59,train,-0.4224509038287883,-0.3731955163365951,-1.3150683675168993,-0.11876960761430042,-1.3781077566709907,-2.407064805336542,-0.8295333859554204,-0.7946878379708187,-0.6238691514468253,-0.02530544719826005,-0.849167510239329,0.5721593734831757,-0.904712177936305,0.27934486647941864,-0.3779644730092272,-1.1338934190276817,0.8281104128748196,-0.6638606131072254,-0.34221429324236174,-0.3703599479409377,0.32539568672798425
regional and development,17-18,2018,17499.37,train,-0.4588619513674106,-0.4105522124123754,-1.379999153291731,-0.1823195518262356,-1.449490148198157,-2.5214447416120858,-0.836757782393691,-0.800294715427461,3.5147040406155408,-0.21785906394139185,-1.1945915822010897,0.36910382881322434,-0.904712177936305,0.16760691988765133,-0.3779644730092272,-1.1338934190276817,-0.19732284994554286,-0.8177993060016547,-0.34221429324236174,-0.3703599479409377,0.5423261445466404
regional and development,18-19,2019,19523.86,train,-0.4952729989060329,-0.44790890848815573,-1.4525688550400695,-0.24972330003191825,-1.5295324649789335,-2.3370842427846505,-0.7220766245265114,-0.8077673683478981,-0.186288480180906,-1.6738079229948941,-1.2713524870814812,0.7930404048989641,-0.9637954222096964,-0.27934486647941864,-0.3779644730092272,-1.1338934190276817,-0.4370470303939875,-1.1641613650141203,-0.34221429324236174,-0.3703599479409377,0.7592566023652966
regional and development,19-20,2020,20871.4,train,-0.5316840464446552,-0.48526560456393597,-1.5342097695069543,-0.321478605021626,-1.6199129532345804,-2.4627569353108076,-0.7023990936893802,-0.6891453496674799,-0.2746800058073274,-0.5990549733594107,-0.7340261529187421,1.1503251609785363,-0.25479649092900036,-3.4638763443447904,2.6457513110645903,0.8819171036881969,-2.2496650061812344,-1.2411307114613348,1.1947481465829826,2.0280052408839904,0.9761870601839528
regional and development,20-21,2021,23034.99,train,-0.513478522675344,-0.5226223006397164,0.5938967342631115,-0.285022180304257,0.6276111976205507,-1.3832312572507928,-0.6893013456618436,-0.6687916274522745,-0.20906652548533922,1.606431268120965,-0.1966998187560028,1.049572409806423,2.463032745647001,1.6202002255806283,-0.3779644730092272,-1.1338934190276817,-0.9116258958610451,-0.7023452863308329,-0.34221429324236174,-0.3703599479409377,1.193117518002609
regional and development,21-22,2022,23025.15,train,-0.4952729989060329,-0.5039439526018261,0.5700189614297845,-0.24972330003191825,0.6035693575821734,-0.2746006186895888,-0.6682717980009963,-0.6552437932649593,-0.40621351284419965,0.4336121919431219,-0.46536298583737246,1.1534252456299854,0.9859516388122181,0.05586897329588378,-0.3779644730092272,0.8819171036881969,1.8341463761524435,-0.16355986120033086,-0.34221429324236174,-0.3703599479409377,1.4100479758212652
regional and development,22-23,2023,25407.49,val,-0.47706747513672176,-0.48526560456393597,0.5476335493985368,-0.21551071328910412,0.5810073770174669,0.8692771302966621,-0.6683674403126094,-0.6334915940209047,-0.20943783711499828,1.3251898153438886,-0.004797556555024525,1.6788895940507014,0.8087019059920443,-0.27934486647941864,-0.3779644730092272,-1.1338934190276817,0.3740175216210012,-0.4329525737655819,-0.34221429324236174,-0.3703599479409377,1.6269784336399213
science and innovation,05-06,2006,6799.6,train,-0.943128883631087,-0.33583882026081474,-0.14631422356995583,-1.8777142583207245,-0.12957746601061873,0.021751042428375528,-0.35158124794100204,-0.3252125644467319,-0.186288480180906,0.6880903780846179,-0.9643088675599158,-1.1948888778431248,-0.6092959565693482,0.4469517863670697,-0.3779644730092272,-1.1338934190276817,0.3740175216210012,-0.27901388087115264,-0.34221429324236174,-0.3703599479409377,-1.6269784336399213
science and innovation,06-07,2007,7640.6,train,-0.9376672265002937,-0.9447529662960339,0.7539423467675557,-1.8335301129084265,0.7881135658936651,1.156245837782546,-0.8260756831166802,-0.3252125644467319,-0.17114698541644346,0.46261942591851407,-0.04317800899522038,-1.1166117403940212,-0.9637954222096964,0.5586897329588373,-0.3779644730092272,0.8819171036881969,0.6908361597053615,-0.9332533256724765,-0.34221429324236174,-0.3703599479409377,-1.4100479758212652
science and innovation,07-08,2008,8230.3,train,-0.9376672265002937,-0.9391494618846667,-0.14631422356995583,-1.8335301129084265,-0.12957746601061873,0.44082260954647684,-0.8179013757928468,-0.7967181933696403,-0.2592256194182007,-2.116238726223137,-0.1966998187560028,-1.5072224064766773,-1.3773781321234355,-0.16760691988765108,-0.3779644730092272,0.8819171036881969,0.41013076378930347,-0.009621168305901958,-0.34221429324236174,-0.3703599479409377,-1.193117518002609
science and innovation,09-10,2010,10807.0,train,-0.9285644646156381,-0.9391494618846667,1.2956551748061436,-1.763581179297418,1.323240246476445,0.9574168102084708,-0.8121696409190484,-0.7882629871779636,0.18756045190703377,0.9343848380251348,2.1445077800959322,-0.9507572115414648,0.8087019059920443,0.7262966528464884,2.6457513110645903,0.8819171036881969,0.5512660989376004,0.9524956622842801,3.596251958810083,3.1570340302891373,-0.9761870601839528
science and innovation,10-11,2011,12357.0,train,-0.941308331254156,-0.9298102878657217,-2.041976432654635,-1.8627902578813174,-2.1901193379960158,-0.5904512808041528,-0.7871247685274655,-0.7823342890908866,-0.13375592453723312,-0.9014786870653145,1.4536596361724103,-1.093361105508149,0.8677851502654353,0.0,-0.3779644730092272,0.8819171036881969,0.9974662742515673,2.1840052054397137,-0.34221429324236174,-0.3703599479409377,-0.7592566023652966
science and innovation,11-12,2012,14170.92,train,-0.924923359861776,-0.9428851314922448,2.5184452246290765,-1.736789007233623,2.4874295316154846,0.7696779489453793,-0.7720591604989975,-0.7564287839849491,-0.12737814526060823,-0.7802228229941246,0.6476701349283016,-0.9120061533983441,0.5132856846250875,0.11173794659176756,-0.3779644730092272,0.8819171036881969,-1.2881354527448101,1.4912810874147822,-0.34221429324236174,-0.3703599479409377,-0.5423261445466404
science and innovation,12-13,2013,14572.61,train,-0.9285644646156381,-0.9260746182581437,-0.6750363363078598,-1.763581179297418,-0.6860425916513228,-0.2746006186895888,-0.7544283168119015,-0.7408454669848314,-0.35171686770224436,-0.2560532336312214,1.338518278851823,-0.5020199582441278,0.5132856846250875,0.05586897329588378,-0.3779644730092272,0.8819171036881969,-1.1371750961922198,0.6831029497190294,-0.34221429324236174,-0.3703599479409377,-0.32539568672798425
science and innovation,13-14,2014,15049.33,train,-0.9322055693695005,-0.9298102878657217,-0.6879319975941476,-1.7910349528916094,-0.6997838507720495,0.49996699238102216,-0.7505239915932206,-0.7226087635184744,-0.3434450944518811,0.3213398045398408,1.0314746593302582,0.06297046948257104,-0.31387973520239154,0.16760691988765133,-0.3779644730092272,0.8819171036881969,-0.48459776551737643,1.37582706774396,-0.34221429324236174,-0.3703599479409377,-0.10846522890932808
science and innovation,15-16,2016,16880.03,train,-0.9522316455157427,-0.9335459574732998,-3.1996844246313527,-1.9554957099817853,-3.5453765150477015,-2.635445273967321,-0.7458903937484906,-0.7185702715147472,-0.17500532556553552,0.7983531554316704,-0.6956457004785462,0.4473809662623273,-0.6683792008427396,0.0,-0.3779644730092272,-1.1338934190276817,0.6455779678831152,-0.27901388087115264,-0.34221429324236174,-0.3703599479409377,0.10846522890932808
science and innovation,16-17,2017,17862.14,train,-0.941308331254156,-0.9540921403149789,1.7846708838206542,-1.8627902578813174,1.7958860958024976,-1.3455198908781676,-0.7280964527048027,-0.7137774464306851,-0.295207963247855,-0.02530544719826005,-0.849167510239329,0.5721593734831757,-0.904712177936305,0.27934486647941864,-0.3779644730092272,-1.1338934190276817,0.8281104128748196,-0.6638606131072254,-0.34221429324236174,-0.3703599479409377,0.32539568672798425
science and innovation,17-18,2018,20579.09,train,-0.9504110931388116,-0.9428851314922448,-1.6267361392360882,-1.9394980046409487,-1.7227736367643374,-1.8771953166318902,-0.7185505918655518,-0.6953720409906107,-0.11731393394091724,-0.21785906394139185,-1.1945915822010897,0.36910382881322434,-0.904712177936305,0.16760691988765133,-0.3779644730092272,-1.1338934190276817,-0.19732284994554286,-0.8177993060016547,-0.34221429324236174,-0.3703599479409377,0.5423261445466404
science and innovation,18-19,2019,23105.7,train,-0.9576933026465361,-0.95222430551119,-1.4152472941409227,-2.004918128165201,-1.4883331939774007,-0.8080943358600744,-0.6921425249410704,-0.685498149726749,-0.17286702860562744,-1.6738079229948941,-1.2713524870814812,0.7930404048989641,-0.9637954222096964,-0.27934486647941864,-0.3779644730092272,-1.1338934190276817,-0.4370470303939875,-1.1641613650141203,-0.34221429324236174,-0.3703599479409377,0.7592566023652966
science and innovation,19-20,2020,24335.5,train,-0.9576933026465361,-0.959695644726346,-0.14631422356995583,-2.004918128165201,-0.12957746601061873,-1.8088097613882674,-0.6675845146824848,-0.6581826057761234,-0.3045961729754369,-0.5990549733594107,-0.7340261529187421,1.1503251609785363,-0.25479649092900036,-3.4638763443447904,2.6457513110645903,0.8819171036881969,-2.2496650061812344,-1.2411307114613348,1.1947481465829826,2.0280052408839904,0.9761870601839528
science and innovation,20-21,2021,27952.76,train,-0.9613344074003983,-0.959695644726346,-0.819233276145468,-2.0391307149080156,-0.8401623090387044,-1.3500928124322207,-0.6556311696802848,-0.6327806931531123,-0.12387731746422687,1.606431268120965,-0.1966998187560028,1.049572409806423,2.463032745647001,1.6202002255806283,-0.3779644730092272,-1.1338934190276817,-0.9116258958610451,-0.7023452863308329,-0.34221429324236174,-0.3703599479409377,1.193117518002609
science and innovation,21-22,2022,28743.120000000003,train,-0.9613344074003983,-0.9634313143339241,-0.14631422356995583,-2.0391307149080156,-0.12957746601061873,-0.6439107566052251,-0.6204723172305711,-0.6204165878326319,-0.3518517798095305,0.4336121919431219,-0.46536298583737246,1.1534252456299854,0.9859516388122181,0.05586897329588378,-0.3779644730092272,0.8819171036881969,1.8341463761524435,-0.16355986120033086,-0.34221429324236174,-0.3703599479409377,1.4100479758212652
science and innovation,22-23,2023,27917.46,val,-0.9595138550234671,-0.9634313143339241,0.2006596629142938,-2.0218928294731437,0.22844808195375052,-0.45783520800135813,-0.6127902179006484,-0.5840495496056347,-0.4598106060050885,1.3251898153438886,-0.004797556555024525,1.6788895940507014,0.8087019059920443,-0.27934486647941864,-0.3779644730092272,-1.1338934190276817,0.3740175216210012,-0.4329525737655819,-0.34221429324236174,-0.3703599479409377,1.6269784336399213
social and services,05-06,2006,28608.45,train,-0.16757357105843224,-0.33583882026081474,-0.14631422356995583,0.24646822400089385,-0.12957746601061873,0.021751042428375528,-0.35158124794100204,-0.3252125644467319,-0.186288480180906,0.6880903780846179,-0.9643088675599158,-1.1948888778431248,-0.6092959565693482,0.4469517863670697,-0.3779644730092272,-1.1338934190276817,0.3740175216210012,-0.27901388087115264,-0.34221429324236174,-0.3703599479409377,-1.6269784336399213
