Base_Ministry,Fiscal_Year,Budget_Amount,GDP_Growth_Rate,Inflation_CPI,Exchange_Rate_USD,Current_Account_GDP,Global_GDP_Growth,Election_Year,High_Inflation,GDP_Growth_Lag1,Inflation_Lag1
Agricultural Research and Education,19-20,8078.76,-5.77772470686801,6.62343677628535,74.0995668836052,1.22362111042791,-2.84908234670684,1.0,1.0,3.87143694070356,3.72950573539129
Agricultural Research and Education,20-21,8362.58,9.68959249192875,5.13140747176369,73.9180128154351,-1.05524166809383,6.41954127739844,0.0,0.0,-5.77772470686801,6.62343677628535
Agricultural Research and Education,21-22,8513.62,7.60936497768895,6.69903414079852,78.6044905829916,-2.36247481487452,3.35991138278713,0.0,1.0,9.68959249192875,5.13140747176369
Agricultural Research and Education,22-23,8513.62,9.19075493028345,5.64914318907925,82.5992764460784,-0.878449448896405,2.94333273070453,0.0,0.0,7.60936497768895,6.69903414079852
Agricultural Research and Education,23-24,9504.0,6.48422363033757,4.95303550973656,83.669281580941,-0.828801355740078,2.86326302627855,0.0,0.0,9.19075493028345,5.64914318907925
Agriculture and Cooperation,05-06,30.0,8.06073257166651,5.79652337561634,45.3070083333333,-0.988988302952292,4.47122116709618,0.0,0.0,,
Agriculture and Cooperation,06-07,40.0,7.6608150670107,6.37288135593231,41.3485333333333,-0.66371764877261,4.38558322159378,0.0,1.0,8.06073257166651,5.79652337561634
Agriculture and Cooperation,07-08,40.0,3.08669805921981,8.34926704907581,43.5051833333333,-2.58337749259838,2.07395272619111,0.0,1.0,7.6608150670107,6.37288135593231
Agriculture and Cooperation,09-10,7715.6,8.49758470221235,11.9893899204244,45.7258121212121,-3.25348368945179,4.52714707154176,1.0,1.0,7.86188883286074,10.8823529411764
Agriculture and Cooperation,10-11,8885.97,5.24131619937695,8.91179336483371,46.6704666666667,-3.42928468606061,3.34731098254233,0.0,1.0,8.49758470221235,11.9893899204244
Agriculture and Cooperation,11-12,9662.0,5.45638755166587,9.47899691419801,53.4372333333333,-5.00488971805303,2.70728114800572,0.0,1.0,5.24131619937695,8.91179336483371
Agriculture and Cooperation,12-13,11313.22,6.38610640094825,10.0178784746102,58.5978454166667,-2.64566711733892,2.88902201263855,0.0,1.0,5.45638755166587,9.47899691419801
Agriculture and Cooperation,13-14,11979.5,7.41022760508854,6.66565671867899,61.0295144607843,-1.33950896483453,3.14862374821116,0.0,1.0,6.38610640094825,10.0178784746102
Agriculture and Cooperation,15-16,6203.85,8.25630550179086,4.94821634062141,67.1953128073894,-0.52788060603752,2.8143608967909,0.0,0.0,7.99625378571471,4.90697344127256
Agriculture and Cooperation,16-17,23228.83,6.79538341897911,3.32817337461298,65.1215686450659,-1.43948820320989,3.45634160134833,0.0,0.0,8.25630550179086,4.94821634062141
Agriculture and Cooperation,17-18,41855.0,6.45385134497769,3.9388264669163,68.3894670935422,-2.42697545810527,3.29609128087938,0.0,0.0,6.79538341897911,3.32817337461298
Agriculture and Cooperation,18-19,46700.0,3.87143694070356,3.72950573539129,70.4203405359551,-1.04961203910072,2.71004016031682,0.0,0.0,6.45385134497769,3.9388264669163
Agriculture and Cooperation,19-20,129585.21,-5.77772470686801,6.62343677628535,74.0995668836052,1.22362111042791,-2.84908234670684,1.0,1.0,3.87143694070356,3.72950573539129
Agriculture and Cooperation,20-21,134399.77,9.68959249192875,5.13140747176369,73.9180128154351,-1.05524166809383,6.41954127739844,0.0,0.0,-5.77772470686801,6.62343677628535
Agriculture and Cooperation,21-22,123017.57,7.60936497768895,6.69903414079852,78.6044905829916,-2.36247481487452,3.35991138278713,0.0,1.0,9.68959249192875,5.13140747176369
Agriculture and Cooperation,22-23,900.0,9.19075493028345,5.64914318907925,82.5992764460784,-0.878449448896405,2.94333273070453,0.0,0.0,7.60936497768895,6.69903414079852
Agriculture and Cooperation,23-24,1150.38,6.48422363033757,4.95303550973656,83.669281580941,-0.828801355740078,2.86326302627855,0.0,0.0,9.19075493028345,5.64914318907925
Andaman & Nicobar Islands,05-06,1675.59,8.06073257166651,5.79652337561634,45.3070083333333,-0.988988302952292,4.47122116709618,0.0,0.0,,
Andaman & Nicobar Islands,06-07,1977.93,7.6608150670107,6.37288135593231,41.3485333333333,-0.66371764877261,4.38558322159378,0.0,1.0,8.06073257166651,5.79652337561634
Andaman & Nicobar Islands,07-08,1854.83,3.08669805921981,8.34926704907581,43.5051833333333,-2.58337749259838,2.07395272619111,0.0,1.0,7.6608150670107,6.37288135593231
Andaman & Nicobar Islands,09-10,2689.23,8.49758470221235,11.9893899204244,45.7258121212121,-3.25348368945179,4.52714707154176,1.0,1.0,7.86188883286074,10.8823529411764
Andaman & Nicobar Islands,10-11,2064.31,5.24131619937695,8.91179336483371,46.6704666666667,-3.42928468606061,3.34731098254233,0.0,1.0,8.49758470221235,11.9893899204244
Andaman & Nicobar Islands,11-12,2608.74,5.45638755166587,9.47899691419801,53.4372333333333,-5.00488971805303,2.70728114800572,0.0,1.0,5.24131619937695,8.91179336483371
Andaman & Nicobar Islands,12-13,2982.65,6.38610640094825,10.0178784746102,58.5978454166667,-2.64566711733892,2.88902201263855,0.0,1.0,5.45638755166587,9.47899691419801
Andaman & Nicobar Islands,13-14,3192.7,7.41022760508854,6.66565671867899,61.0295144607843,-1.33950896483453,3.14862374821116,0.0,1.0,6.38610640094825,10.0178784746102
Andaman & Nicobar Islands,15-16,3748.38,8.25630550179086,4.94821634062141,67.1953128073894,-0.52788060603752,2.8143608967909,0.0,0.0,7.99625378571471,4.90697344127256
Andaman & Nicobar Islands,16-17,4072.02,6.79538341897911,3.32817337461298,65.1215686450659,-1.43948820320989,3.45634160134833,0.0,0.0,8.25630550179086,4.94821634062141
Andaman & Nicobar Islands,17-18,4158.28,6.45385134497769,3.9388264669163,68.3894670935422,-2.42697545810527,3.29609128087938,0.0,0.0,6.79538341897911,3.32817337461298
Andaman & Nicobar Islands,18-19,4523.86,3.87143694070356,3.72950573539129,70.4203405359551,-1.04961203910072,2.71004016031682,0.0,0.0,6.45385134497769,3.9388264669163
Andaman & Nicobar Islands,19-20,4817.48,-5.77772470686801,6.62343677628535,74.0995668836052,1.22362111042791,-2.84908234670684,1.0,1.0,3.87143694070356,3.72950573539129
Andaman & Nicobar Islands,20-21,5164.26,9.68959249192875,5.13140747176369,73.9180128154351,-1.05524166809383,6.41954127739844,0.0,0.0,-5.77772470686801,6.62343677628535
Andaman & Nicobar Islands,21-22,5317.41,7.60936497768895,6.69903414079852,78.6044905829916,-2.36247481487452,3.35991138278713,0.0,1.0,9.68959249192875,5.13140747176369
Andaman & Nicobar Islands,22-23,5703.65,9.19075493028345,5.64914318907925,82.5992764460784,-0.878449448896405,2.94333273070453,0.0,0.0,7.60936497768895,6.69903414079852
Andaman & Nicobar Islands,23-24,192.32,6.48422363033757,4.95303550973656,83.669281580941,-0.828801355740078,2.86326302627855,0.0,0.0,9.19075493028345,5.64914318907925
Animal Husbandry and Dairying,05-06,710.69,8.06073257166651,5.79652337561634,45.3070083333333,-0.988988302952292,4.47122116709618,0.0,0.0,,
Animal Husbandry and Dairying,06-07,819.86,7.6608150670107,6.37288135593231,41.3485333333333,-0.66371764877261,4.38558322159378,0.0,1.0,8.06073257166651,5.79652337561634
Animal Husbandry and Dairying,07-08,955.0,3.08669805921981,8.34926704907581,43.5051833333333,-2.58337749259838,2.07395272619111,0.0,1.0,7.6608150670107,6.37288135593231
Animal Husbandry and Dairying,09-10,1206.28,8.49758470221235,11.9893899204244,45.7258121212121,-3.25348368945179,4.52714707154176,1.0,1.0,7.86188883286074,10.8823529411764
Animal Husbandry and Dairying,10-11,1398.7,5.24131619937695,8.91179336483371,46.6704666666667,-3.42928468606061,3.34731098254233,0.0,1.0,8.49758470221235,11.9893899204244
Animal Husbandry and Dairying,11-12,1696.25,5.45638755166587,9.47899691419801,53.4372333333333,-5.00488971805303,2.70728114800572,0.0,1.0,5.24131619937695,8.91179336483371
Animal Husbandry and Dairying,12-13,2009.37,6.38610640094825,10.0178784746102,58.5978454166667,-2.64566711733892,2.88902201263855,0.0,1.0,5.45638755166587,9.47899691419801
Animal Husbandry and Dairying,13-14,2110.16,7.41022760508854,6.66565671867899,61.0295144607843,-1.33950896483453,3.14862374821116,0.0,1.0,6.38610640094825,10.0178784746102
Animal Husbandry and Dairying,15-16,1227.43,8.25630550179086,4.94821634062141,67.1953128073894,-0.52788060603752,2.8143608967909,0.0,0.0,7.99625378571471,4.90697344127256
Animal Husbandry and Dairying,16-17,1339.51,6.79538341897911,3.32817337461298,65.1215686450659,-1.43948820320989,3.45634160134833,0.0,0.0,8.25630550179086,4.94821634062141
Animal Husbandry and Dairying,17-18,2371.0,6.45385134497769,3.9388264669163,68.3894670935422,-2.42697545810527,3.29609128087938,0.0,0.0,6.79538341897911,3.32817337461298
Animal Husbandry and Dairying,18-19,3100.0,3.87143694070356,3.72950573539129,70.4203405359551,-1.04961203910072,2.71004016031682,0.0,0.0,6.45385134497769,3.9388264669163
Animal Husbandry and Dairying,19-20,3100.0,-5.77772470686801,6.62343677628535,74.0995668836052,1.22362111042791,-2.84908234670684,1.0,1.0,3.87143694070356,3.72950573539129
Animal Husbandry and Dairying,20-21,3289.13,9.68959249192875,5.13140747176369,73.9180128154351,-1.05524166809383,6.41954127739844,0.0,0.0,-5.77772470686801,6.62343677628535
Animal Husbandry and Dairying,21-22,3101.98,7.60936497768895,6.69903414079852,78.6044905829916,-2.36247481487452,3.35991138278713,0.0,1.0,9.68959249192875,5.13140747176369
Animal Husbandry and Dairying,22-23,3918.84,9.19075493028345,5.64914318907925,82.5992764460784,-0.878449448896405,2.94333273070453,0.0,0.0,7.60936497768895,6.69903414079852
Animal Husbandry and Dairying,23-24,4327.85,6.48422363033757,4.95303550973656,83.669281580941,-0.828801355740078,2.86326302627855,0.0,0.0,9.19075493028345,5.64914318907925
Atomic Energy,05-06,4995.86,8.06073257166651,5.79652337561634,45.3070083333333,-0.988988302952292,4.47122116709618,0.0,0.0,,
Atomic Energy,06-07,5505.08,7.6608150670107,6.37288135593231,41.3485333333333,-0.66371764877261,4.38558322159378,0.0,1.0,8.06073257166651,5.79652337561634
Atomic Energy,07-08,6130.0,3.08669805921981,8.34926704907581,43.5051833333333,-2.58337749259838,2.07395272619111,0.0,1.0,7.6608150670107,6.37288135593231
Atomic Energy,09-10,7773.0,8.49758470221235,11.9893899204244,45.7258121212121,-3.25348368945179,4.52714707154176,1.0,1.0,7.86188883286074,10.8823529411764
Atomic Energy,10-11,8521.0,5.24131619937695,8.91179336483371,46.6704666666667,-3.42928468606061,3.34731098254233,0.0,1.0,8.49758470221235,11.9893899204244
Atomic Energy,11-12,9352.46,5.45638755166587,9.47899691419801,53.4372333333333,-5.00488971805303,2.70728114800572,0.0,1.0,5.24131619937695,8.91179336483371
Atomic Energy,12-13,9232.0,6.38610640094825,10.0178784746102,58.5978454166667,-2.64566711733892,2.88902201263855,0.0,1.0,5.45638755166587,9.47899691419801
Atomic Energy,13-14,9833.32,7.41022760508854,6.66565671867899,61.0295144607843,-1.33950896483453,3.14862374821116,0.0,1.0,6.38610640094825,10.0178784746102
Atomic Energy,15-16,10912.0,8.25630550179086,4.94821634062141,67.1953128073894,-0.52788060603752,2.8143608967909,0.0,0.0,7.99625378571471,4.90697344127256
Atomic Energy,16-17,11682.48,6.79538341897911,3.32817337461298,65.1215686450659,-1.43948820320989,3.45634160134833,0.0,0.0,8.25630550179086,4.94821634062141
Atomic Energy,17-18,12461.2,6.45385134497769,3.9388264669163,68.3894670935422,-2.42697545810527,3.29609128087938,0.0,0.0,6.79538341897911,3.32817337461298
Atomic Energy,18-19,13971.41,3.87143694070356,3.72950573539129,70.4203405359551,-1.04961203910072,2.71004016031682,0.0,0.0,6.45385134497769,3.9388264669163
Atomic Energy,19-20,16725.51,-5.77772470686801,6.62343677628535,74.0995668836052,1.22362111042791,-2.84908234670684,1.0,1.0,3.87143694070356,3.72950573539129
Atomic Energy,20-21,18228.94,9.68959249192875,5.13140747176369,73.9180128154351,-1.05524166809383,6.41954127739844,0.0,0.0,-5.77772470686801,6.62343677628535
Atomic Energy,21-22,18264.89,7.60936497768895,6.69903414079852,78.6044905829916,-2.36247481487452,3.35991138278713,0.0,1.0,9.68959249192875,5.13140747176369
Atomic Energy,22-23,22723.58,9.19075493028345,5.64914318907925,82.5992764460784,-0.878449448896405,2.94333273070453,0.0,0.0,7.60936497768895,6.69903414079852
Atomic Energy,23-24,25078.49,6.48422363033757,4.95303550973656,83.669281580941,-0.828801355740078,2.86326302627855,0.0,0.0,9.19075493028345,5.64914318907925
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",05-06,405.98,8.06073257166651,5.79652337561634,45.3070083333333,-0.988988302952292,4.47122116709618,0.0,0.0,,
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",06-07,447.89,7.6608150670107,6.37288135593231,41.3485333333333,-0.66371764877261,4.38558322159378,0.0,1.0,8.06073257166651,5.79652337561634
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",07-08,563.88,3.08669805921981,8.34926704907581,43.5051833333333,-2.58337749259838,2.07395272619111,0.0,1.0,7.6608150670107,6.37288135593231
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",09-10,922.0,8.49758470221235,11.9893899204244,45.7258121212121,-3.25348368945179,4.52714707154176,1.0,1.0,7.86188883286074,10.8823529411764
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",10-11,964.0,5.24131619937695,8.91179336483371,46.6704666666667,-3.42928468606061,3.34731098254233,0.0,1.0,8.49758470221235,11.9893899204244
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",11-12,1088.0,5.45638755166587,9.47899691419801,53.4372333333333,-5.00488971805303,2.70728114800572,0.0,1.0,5.24131619937695,8.91179336483371
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",12-13,1178.0,6.38610640094825,10.0178784746102,58.5978454166667,-2.64566711733892,2.88902201263855,0.0,1.0,5.45638755166587,9.47899691419801
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",13-14,1259.0,7.41022760508854,6.66565671867899,61.0295144607843,-1.33950896483453,3.14862374821116,0.0,1.0,6.38610640094825,10.0178784746102
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",15-16,896.0,8.25630550179086,4.94821634062141,67.1953128073894,-0.52788060603752,2.8143608967909,0.0,0.0,7.99625378571471,4.90697344127256
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",16-17,926.2,6.79538341897911,3.32817337461298,65.1215686450659,-1.43948820320989,3.45634160134833,0.0,0.0,8.25630550179086,4.94821634062141
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",17-18,1428.65,6.45385134497769,3.9388264669163,68.3894670935422,-2.42697545810527,3.29609128087938,0.0,0.0,6.79538341897911,3.32817337461298
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",18-19,1626.37,3.87143694070356,3.72950573539129,70.4203405359551,-1.04961203910072,2.71004016031682,0.0,0.0,6.45385134497769,3.9388264669163
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",19-20,1739.76,-5.77772470686801,6.62343677628535,74.0995668836052,1.22362111042791,-2.84908234670684,1.0,1.0,3.87143694070356,3.72950573539129
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",20-21,2122.08,9.68959249192875,5.13140747176369,73.9180128154351,-1.05524166809383,6.41954127739844,0.0,0.0,-5.77772470686801,6.62343677628535
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",21-22,2970.3,7.60936497768895,6.69903414079852,78.6044905829916,-2.36247481487452,3.35991138278713,0.0,1.0,9.68959249192875,5.13140747176369
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",22-23,3050.0,9.19075493028345,5.64914318907925,82.5992764460784,-0.878449448896405,2.94333273070453,0.0,0.0,7.60936497768895,6.69903414079852
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",23-24,3647.5,6.48422363033757,4.95303550973656,83.669281580941,-0.828801355740078,2.86326302627855,0.0,0.0,9.19075493028345,5.64914318907925
Biotechnology,05-06,458.6,8.06073257166651,5.79652337561634,45.3070083333333,-0.988988302952292,4.47122116709618,0.0,0.0,,
Biotechnology,06-07,534.6,7.6608150670107,6.37288135593231,41.3485333333333,-0.66371764877261,4.38558322159378,0.0,1.0,8.06073257166651,5.79652337561634
Biotechnology,07-08,694.7,3.08669805921981,8.34926704907581,43.5051833333333,-2.58337749259838,2.07395272619111,0.0,1.0,7.6608150670107,6.37288135593231
Biotechnology,09-10,1024.0,8.49758470221235,11.9893899204244,45.7258121212121,-3.25348368945179,4.52714707154176,1.0,1.0,7.86188883286074,10.8823529411764
Biotechnology,10-11,1222.0,5.24131619937695,8.91179336483371,46.6704666666667,-3.42928468606061,3.34731098254233,0.0,1.0,8.49758470221235,11.9893899204244
Biotechnology,11-12,1426.92,5.45638755166587,9.47899691419801,53.4372333333333,-5.00488971805303,2.70728114800572,0.0,1.0,5.24131619937695,8.91179336483371
Biotechnology,12-13,1500.39,6.38610640094825,10.0178784746102,58.5978454166667,-2.64566711733892,2.88902201263855,0.0,1.0,5.45638755166587,9.47899691419801
Biotechnology,13-14,1502.06,7.41022760508854,6.66565671867899,61.0295144607843,-1.33950896483453,3.14862374821116,0.0,1.0,6.38610640094825,10.0178784746102
Biotechnology,15-16,1625.14,8.25630550179086,4.94821634062141,67.1953128073894,-0.52788060603752,2.8143608967909,0.0,0.0,7.99625378571471,4.90697344127256
Biotechnology,16-17,1820.0,6.79538341897911,3.32817337461298,65.1215686450659,-1.43948820320989,3.45634160134833,0.0,0.0,8.25630550179086,4.94821634062141
Biotechnology,17-18,2222.11,6.45385134497769,3.9388264669163,68.3894670935422,-2.42697545810527,3.29609128087938,0.0,0.0,6.79538341897911,3.32817337461298
Biotechnology,18-19,2411.53,3.87143694070356,3.72950573539129,70.4203405359551,-1.04961203910072,2.71004016031682,0.0,0.0,6.45385134497769,3.9388264669163
Biotechnology,19-20,2580.34,-5.77772470686801,6.62343677628535,74.0995668836052,1.22362111042791,-2.84908234670684,1.0,1.0,3.87143694070356,3.72950573539129
Biotechnology,20-21,2786.76,9.68959249192875,5.13140747176369,73.9180128154351,-1.05524166809383,6.41954127739844,0.0,0.0,-5.77772470686801,6.62343677628535
Biotechnology,21-22,3502.37,7.60936497768895,6.69903414079852,78.6044905829916,-2.36247481487452,3.35991138278713,0.0,1.0,9.68959249192875,5.13140747176369
Biotechnology,22-23,2581.0,9.19075493028345,5.64914318907925,82.5992764460784,-0.878449448896405,2.94333273070453,0.0,0.0,7.60936497768895,6.69903414079852
Biotechnology,23-24,2683.86,6.48422363033757,4.95303550973656,83.669281580941,-0.828801355740078,2.86326302627855,0.0,0.0,9.19075493028345,5.64914318907925
Chemicals and Petro-Chemicals,05-06,913.25,8.06073257166651,5.79652337561634,45.3070083333333,-0.988988302952292,4.47122116709618,0.0,0.0,,
Chemicals and Petro-Chemicals,06-07,169.4,7.6608150670107,6.37288135593231,41.3485333333333,-0.66371764877261,4.38558322159378,0.0,1.0,8.06073257166651,5.79652337561634
Chemicals and Petro-Chemicals,07-08,257.0,3.08669805921981,8.34926704907581,43.5051833333333,-2.58337749259838,2.07395272619111,0.0,1.0,7.6608150670107,6.37288135593231
Chemicals and Petro-Chemicals,09-10,265.15,8.49758470221235,11.9893899204244,45.7258121212121,-3.25348368945179,4.52714707154176,1.0,1.0,7.86188883286074,10.8823529411764
Chemicals and Petro-Chemicals,10-11,420.0,5.24131619937695,8.91179336483371,46.6704666666667,-3.42928468606061,3.34731098254233,0.0,1.0,8.49758470221235,11.9893899204244
Chemicals and Petro-Chemicals,11-12,822.0,5.45638755166587,9.47899691419801,53.4372333333333,-5.00488971805303,2.70728114800572,0.0,1.0,5.24131619937695,8.91179336483371
Chemicals and Petro-Chemicals,12-13,1802.62,6.38610640094825,10.0178784746102,58.5978454166667,-2.64566711733892,2.88902201263855,0.0,1.0,5.45638755166587,9.47899691419801
Chemicals and Petro-Chemicals,13-14,1343.01,7.41022760508854,6.66565671867899,61.0295144607843,-1.33950896483453,3.14862374821116,0.0,1.0,6.38610640094825,10.0178784746102
Chemicals and Petro-Chemicals,15-16,255.18,8.25630550179086,4.94821634062141,67.1953128073894,-0.52788060603752,2.8143608967909,0.0,0.0,7.99625378571471,4.90697344127256
Chemicals and Petro-Chemicals,16-17,202.04,6.79538341897911,3.32817337461298,65.1215686450659,-1.43948820320989,3.45634160134833,0.0,0.0,8.25630550179086,4.94821634062141
Chemicals and Petro-Chemicals,17-18,298.0,6.45385134497769,3.9388264669163,68.3894670935422,-2.42697545810527,3.29609128087938,0.0,0.0,6.79538341897911,3.32817337461298
Chemicals and Petro-Chemicals,18-19,199.65,3.87143694070356,3.72950573539129,70.4203405359551,-1.04961203910072,2.71004016031682,0.0,0.0,6.45385134497769,3.9388264669163
Chemicals and Petro-Chemicals,19-20,263.65,-5.77772470686801,6.62343677628535,74.0995668836052,1.22362111042791,-2.84908234670684,1.0,1.0,3.87143694070356,3.72950573539129
Chemicals and Petro-Chemicals,20-21,218.34,9.68959249192875,5.13140747176369,73.9180128154351,-1.05524166809383,6.41954127739844,0.0,0.0,-5.77772470686801,6.62343677628535
Chemicals and Petro-Chemicals,21-22,233.14,7.60936497768895,6.69903414079852,78.6044905829916,-2.36247481487452,3.35991138278713,0.0,1.0,9.68959249192875,5.13140747176369
Chemicals and Petro-Chemicals,22-23,209.0,9.19075493028345,5.64914318907925,82.5992764460784,-0.878449448896405,2.94333273070453,0.0,0.0,7.60936497768895,6.69903414079852
Chemicals and Petro-Chemicals,23-24,173.45,6.48422363033757,4.95303550973656,83.669281580941,-0.828801355740078,2.86326302627855,0.0,0.0,9.19075493028345,5.64914318907925
Civil Aviation,05-06,633.5,8.06073257166651,5.79652337561634,45.3070083333333,-0.988988302952292,4.47122116709618,0.0,0.0,,
Civil Aviation,06-07,448.6,7.6608150670107,6.37288135593231,41.3485333333333,-0.66371764877261,4.38558322159378,0.0,1.0,8.06073257166651,5.79652337561634
Civil Aviation,07-08,617.56,3.08669805921981,8.34926704907581,43.5051833333333,-2.58337749259838,2.07395272619111,0.0,1.0,7.6608150670107,6.37288135593231
Civil Aviation,09-10,887.0,8.49758470221235,11.9893899204244,45.7258121212121,-3.25348368945179,4.52714707154176,1.0,1.0,7.86188883286074,10.8823529411764
Civil Aviation,10-11,2885.0,5.24131619937695,8.91179336483371,46.6704666666667,-3.42928468606061,3.34731098254233,0.0,1.0,8.49758470221235,11.9893899204244
Civil Aviation,11-12,2393.88,5.45638755166587,9.47899691419801,53.4372333333333,-5.00488971805303,2.70728114800572,0.0,1.0,5.24131619937695,8.91179336483371
Civil Aviation,12-13,5238.8,6.38610640094825,10.0178784746102,58.5978454166667,-2.64566711733892,2.88902201263855,0.0,1.0,5.45638755166587,9.47899691419801
Civil Aviation,13-14,5882.18,7.41022760508854,6.66565671867899,61.0295144607843,-1.33950896483453,3.14862374821116,0.0,1.0,6.38610640094825,10.0178784746102
Civil Aviation,15-16,3341.5,8.25630550179086,4.94821634062141,67.1953128073894,-0.52788060603752,2.8143608967909,0.0,0.0,7.99625378571471,4.90697344127256
Civil Aviation,16-17,2590.68,6.79538341897911,3.32817337461298,65.1215686450659,-1.43948820320989,3.45634160134833,0.0,0.0,8.25630550179086,4.94821634062141
Civil Aviation,17-18,2702.0,6.45385134497769,3.9388264669163,68.3894670935422,-2.42697545810527,3.29609128087938,0.0,0.0,6.79538341897911,3.32817337461298
Civil Aviation,18-19,6602.86,3.87143694070356,3.72950573539129,70.4203405359551,-1.04961203910072,2.71004016031682,0.0,0.0,6.45385134497769,3.9388264669163
Civil Aviation,19-20,4500.0,-5.77772470686801,6.62343677628535,74.0995668836052,1.22362111042791,-2.84908234670684,1.0,1.0,3.87143694070356,3.72950573539129
Civil Aviation,20-21,3797.71,9.68959249192875,5.13140747176369,73.9180128154351,-1.05524166809383,6.41954127739844,0.0,0.0,-5.77772470686801,6.62343677628535
Civil Aviation,21-22,3224.67,7.60936497768895,6.69903414079852,78.6044905829916,-2.36247481487452,3.35991138278713,0.0,1.0,9.68959249192875,5.13140747176369
Civil Aviation,22-23,10667.0,9.19075493028345,5.64914318907925,82.5992764460784,-0.878449448896405,2.94333273070453,0.0,0.0,7.60936497768895,6.69903414079852
Civil Aviation,23-24,3113.36,6.48422363033757,4.95303550973656,83.669281580941,-0.828801355740078,2.86326302627855,0.0,0.0,9.19075493028345,5.64914318907925
Coal,05-06,192.07,8.06073257166651,5.79652337561634,45.3070083333333,-0.988988302952292,4.47122116709618,0.0,0.0,,
Coal,06-07,205.71,7.6608150670107,6.37288135593231,41.3485333333333,-0.66371764877261,4.38558322159378,0.0,1.0,8.06073257166651,5.79652337561634
Coal,07-08,288.0,3.08669805921981,8.34926704907581,43.5051833333333,-2.58337749259838,2.07395272619111,0.0,1.0,7.6608150670107,6.37288135593231
Coal,09-10,349.0,8.49758470221235,11.9893899204244,45.7258121212121,-3.25348368945179,4.52714707154176,1.0,1.0,7.86188883286074,10.8823529411764
